year,trade openness,inflation,interest
1987,0.248138337,7.233835531,2.68046318
1988,0.300133389,18.81181794,-2.766909931
1989,0.250615549,18.24563836,2.515816731
1990,0.242259825,3.052290121,3.45382567
1991,0.258729815,3.556685652,1.79286013
1992,0.300340941,6.35398134,0.406518064
1993,0.359086417,14.61007864,-3.650380407
1994,0.356054635,24.25698972,-8.007706744
1995,0.341049522,16.79122517,-1.3842867
1996,0.336287512,8.313160289,3.35584231
1997,0.343135763,2.786465055,6.869076976
1998,0.321717399,-0.773186012,7.276611764
1999,0.332255381,-1.401472683,7.156973146
2000,0.390109425,0.347811227,3.673088686
2001,0.38082647,0.719125609,3.559219168
2002,0.421944423,-0.731970902,4.637498974
2003,0.510774801,1.127603487,2.598646301
2004,0.58640334,3.824637431,-1.318057461
2005,0.613600749,1.776414077,1.76511319
2006,0.635695799,1.649430995,2.019374501
2007,0.61266464,4.816767674,-0.411124456
2008,0.56711133,5.92525137,-2.361085723
2009,0.444197644,-0.728165251,5.396390198
2010,0.498540722,3.175324753,-1.045986579
2011,0.499458272,5.553898923,-1.348005925
2012,0.474802131,2.619524326,3.510384658
2013,0.459160414,2.621050017,3.618845182
2014,0.440684565,1.921641628,4.460243408
2015,0.386971848,1.437023809,4.20696427
2016,0.361771707,2.000001822,2.830736322
2017,0.369508526,1.593136001,0.195857336
2018,0.368943844,2.0747904,0.852537112
2019,0.351994203,2.899234164,2.995092852
2020,0.340389508,2.419421895,3.799859895
2021,0.365206912,0.981015136,-0.118557235
2022,0.374407199,1.973575557,2.369885834
2023,0.361051924,0.234836829,4.880384867
2024,0.371984201,0.218128938,5.093219257
