year,trade openness,inflation,interest
1978,0.129030118,2.523048757,10.77463133
1979,0.149188045,6.275683368,-1.061145746
1980,0.153845768,11.34607348,4.476508261
1981,0.145072648,13.1125469,5.118236741
1982,0.141259277,7.890742794,7.774707244
1983,0.136905939,11.8680813,7.320986685
1984,0.140093759,8.318907119,7.94709992
1985,0.129000362,5.556424232,8.681673585
1986,0.122192719,8.729720727,9.093224145
1987,0.12584814,8.801125813,6.560180094
1988,0.134904501,9.383471862,7.638632996
1989,0.151681321,7.074280029,7.435843248
1990,0.155062615,8.971232503,5.269526998
1991,0.169877266,13.87024618,3.624716596
1992,0.18433099,11.78781704,9.132749406
1993,0.196515398,6.326890488,5.814776512
1994,0.200781444,10.24793556,4.337109738
1995,0.228674487,10.22488616,5.864178109
1996,0.219294879,8.977152338,7.7929943
1997,0.226193869,7.164252115,6.909578995
1998,0.236994701,13.23083898,5.121276329
1999,0.24815598,4.66982038,9.191247322
2000,0.269009229,4.00943591,8.342610831
2001,0.259932548,3.779293122,8.591449296
2002,0.295086629,4.297152039,7.907177189
2003,0.305924361,3.805858995,7.30788116
2004,0.375038141,3.767251735,4.910128303
2005,0.420016696,4.24634362,4.855145172
2006,0.457244805,5.796523376,2.570606702
2007,0.456862687,6.372881356,5.681844065
2008,0.533682204,8.349267049,3.77175625
2009,0.462728696,10.88235294,4.808592108
2010,0.492552065,11.98938992,-1.983859221
2011,0.5562388,8.911793365,1.317980862
2012,0.557937217,9.478996914,2.473520489
2013,0.538441319,10.01787847,3.865992863
2014,0.489221857,6.665656719,6.69517609
2015,0.419229139,4.906973441,7.556488414
2016,0.400824857,4.948216341,6.232711415
2017,0.40742497,3.328173375,5.327608862
2018,0.436169693,3.938826467,5.36166639
2019,0.399054035,3.729505735,6.894875427
2020,0.377581053,6.623436776,4.135999578
2021,0.454230888,5.131407472,0.316945144
2022,0.500752701,6.699034141,2.521315449
